	Chr	Start	End	operon_name	Strand	GeneID	genes	ngenes	protein_coding	sigma	nascent_wt	total_wt	nascent_wt44	total_wt44
19	MG1655	1030064	1030342	yccX	+	operon_tu20	yccX	1	TRUE	unknown	0	52	1	95
20	MG1655	1030339	1030668	tusE	-	operon_tu21	tusE	1	TRUE	unknown	0	46	0	148
21	MG1655	1030759	1031418	yccA	-	operon_tu22	yccA	1	TRUE	sigma70	4	544	4	418
22	MG1655	1031625	1031712	serT	-	operon_tu23	serT	1	FALSE	sigma70	40	20351	72	34314
23	MG1655	1032139	1037606	hyaABCDEF	+	operon_tu24	hyaA;hyaB;hyaC;hyaD;hyaE;hyaF	6	TRUE	sigma38	1	139	11	349
24	MG1655	1037740	1041915	appCBA-yccB	+	operon_tu25	appC;appB;appX;appA	4	TRUE	sigma38	1	175	5	514
25	MG1655	1042030	1045803	gfcE-etp-etk	-	operon_tu26	gfcE;etp;etk	3	TRUE	unknown	0	118	6	394
26	MG1655	1045849	1049332	gfcBCD	-	operon_tu27	gfcB;gfcC;gfcD	3	TRUE	unknown	3	75	7	336
27	MG1655	1049439	1049744	gfcA	-	operon_tu28	gfcA	1	TRUE	sigma70	0	8	0	28
28	MG1655	104948	105499	stfZ	-	operon_tu29	stfZ	1	FALSE	sigma70	0	67	0	127
29	MG1655	1049833	1050530	insA4AB4B4	+	operon_tu30	insA4;insAB4;insB4	3	TRUE	unknown	0	74	0	62
30	MG1655	1050963	1051175	cspH	-	operon_tu31	cspH	1	TRUE	unknown	0	226	0	325
31	MG1655	1051461	1051673	cspG	+	operon_tu32	cspG	1	TRUE	unknown	0	39	0	34
32	MG1655	1051847	1052240	ymcE-gnsA	+	operon_tu33	ymcE;gnsA	2	TRUE	sigma54	0	24	0	39
33	MG1655	1052067	1052240	ymcE-gnsA	+	operon_tu34	ymcE;gnsA	2	TRUE	sigma54	0	0	0	0
34	MG1655	1052289	1053362	yccM	-	operon_tu35	yccM	1	TRUE	unknown	0	26	0	74
35	MG1655	1053434	1056178	torS	-	operon_tu36	torS	1	TRUE	unknown	0	104	7	197
36	MG1655	1056261	1057289	torT	+	operon_tu37	torT	1	TRUE	unknown	0	89	4	137
37	MG1655	1057262	1057954	torR	-	operon_tu38	torR	1	TRUE	sigma70	0	61	6	314
38	MG1655	1058084	1062398	torCAD	+	operon_tu39	torC;torA;torD	3	TRUE	sigma70	0	87	2	269
39	MG1655	1062550	1063775	cbpA-cbpM	-	operon_tu40	cbpA;cbpM	2	TRUE	sigma70	5	676	6	1630
40	MG1655	1064036	1065292	yccE	+	operon_tu41	yccE	1	TRUE	sigma32	0	138	0	238
41	MG1655	10643	11356	yaaW	-	operon_tu42	yaaW	1	TRUE	unknown	0	16	2	55
42	MG1655	1065585	1066826	agp	+	operon_tu43	agp	1	TRUE	unknown	24	5344	20	3604
43	MG1655	1066864	1067708	wrbA-yccJ	-	operon_tu44	wrbA;yccJ	2	TRUE	sigma38	1	363	11	2966
44	MG1655	1068081	1068254	ymdF	+	operon_tu45	ymdF	1	TRUE	unknown	0	11	0	26
45	MG1655	1068511	1074011	rutABCDEFG	-	operon_tu46	rutA;rutB;rutC;rutD;rutE;rutF;rutG	7	TRUE	sigma54	2	71	4	220
46	MG1655	1074242	1074880	rutR	+	operon_tu47	rutR	1	TRUE	sigma70	0	50	0	133
47	MG1655	1074920	1078882	putA	-	operon_tu48	putA	1	TRUE	sigma70	0	232	6	812
48	MG1655	107705	111433	secMA-mutT	+	operon_tu49	secM;secA;mutT	3	TRUE	unknown	26	1992	135	3942
49	MG1655	1079305	1080813	putP	+	operon_tu50	putP	1	TRUE	sigma70	1	105	7	278
50	MG1655	1081356	1082185	efeU	+	operon_tu51	efeU	1	FALSE	sigma70	0	17	0	26
51	MG1655	1082243	1084647	efeOB	+	operon_tu52	efeO;efeB	2	TRUE	unknown	0	41	0	113
52	MG1655	10830	11315	htgA	+	operon_tu53	mbiA	1	TRUE	sigma32	0	11	1	25
53	MG1655	1084992	1086056	phoH	+	operon_tu54	phoH	1	TRUE	sigma70	0	24	1	63
54	MG1655	1086106	1092289	pgaABCD	-	operon_tu55	pgaA;pgaB;pgaC;pgaD	4	TRUE	unknown	0	160	2	410
55	MG1655	1092876	1094234	ycdT	+	operon_tu56	dgcT	1	TRUE	sigma70	1	43	2	142
56	MG1655	1094275	1095437	insE4F4EF4	-	operon_tu57	insEF4;insE4;insF4	3	TRUE	unknown	0	4	0	4
57	MG1655	1095544	1096829	ymdE-ycdU	+	operon_tu58	ymdE;ycdU	2	TRUE	unknown	0	21	2	60
58	MG1655	1097565	1097652	serX	-	operon_tu59	serX	1	FALSE	sigma70	0	6	0	10
59	MG1655	1097886	1098824	ghrA	+	operon_tu60	ghrA	1	TRUE	unknown	3	366	4	566
60	MG1655	1098879	1100194	ycdXY	+	operon_tu61	ycdX;ycdY	2	TRUE	unknown	9	579	24	892
61	MG1655	1100296	1100787	ycdZ	+	operon_tu62	ycdZ	1	TRUE	sigma70	3	174	7	308
62	MG1655	1100851	1103196	csgDEFG	-	operon_tu63	csgD;csgE;csgF;csgG	4	TRUE	sigma70	0	89	4	195
63	MG1655	1103951	1105293	csgBAC	+	operon_tu64	csgB;csgA;csgC	3	TRUE	sigma70	0	58	0	159
64	MG1655	1105414	1107776	ymdAB-clsC	+	operon_tu65	ymdA;ymdB;clsC	3	TRUE	unknown	5	338	13	503
65	MG1655	1107784	1108941	mdoC	-	operon_tu66	opgC	1	TRUE	unknown	1	71	0	142
66	MG1655	1109335	1113406	mdoGH	+	operon_tu67	opgG;opgH	2	TRUE	sigma70	19	1539	123	3439
67	MG1655	1113579	1113806	yceK	+	operon_tu68	yceK	1	TRUE	unknown	0	21	0	52
68	MG1655	1113807	1114181	msyB	-	operon_tu69	msyB	1	TRUE	sigma38	3	216	41	2152
69	MG1655	1114264	1115490	mdtG	-	operon_tu70	mdtG	1	TRUE	unknown	1	131	2	193
70	MG1655	1115662	1116582	lpxL	-	operon_tu71	lpxL	1	TRUE	unknown	1	204	15	416
71	MG1655	111649	113219	coaE-zapD-yacG	-	operon_tu72	coaE;zapD;yacG	3	TRUE	unknown	2	385	22	877
72	MG1655	1116807	1117859	yceA	+	operon_tu73	trhO	1	TRUE	unknown	1	63	8	152
73	MG1655	1117901	1119046	yceJI	-	operon_tu74	yceJ;yceI	2	TRUE	sigma70	0	101	0	131
74	MG1655	1119307	1120586	solA-yceO	-	operon_tu75	solA;yceO	2	TRUE	unknown	0	206	3	351
75	MG1655	1120701	1120955	bssS	-	operon_tu76	bssS	1	TRUE	sigma32	4	553	66	11501
76	MG1655	1121242	1121487	dinI	-	operon_tu77	dinI	1	TRUE	sigma70	1	52	2	75
77	MG1655	1121561	1122607	pyrC	-	operon_tu78	pyrC	1	TRUE	sigma70	1	158	8	341
78	MG1655	1122713	1123273	yceB	-	operon_tu79	yceB	1	TRUE	unknown	1	98	2	164
79	MG1655	1123407	1124054	grxB	-	operon_tu80	grxB	1	TRUE	sigma70	5	443	4	339
80	MG1655	1124118	1125326	mdtH	-	operon_tu81	mdtH	1	TRUE	unknown	1	84	1	94
81	MG1655	1125562	1126146	rimJ	+	operon_tu82	rimJ	1	TRUE	unknown	4	346	8	354
82	MG1655	1126157	1126804	yceH	+	operon_tu83	yceH	1	TRUE	unknown	16	403	16	489
83	MG1655	1126806	1127729	mviM	+	operon_tu84	yceM	1	TRUE	unknown	4	568	24	627
84	MG1655	1127839	1129374	murJ	+	operon_tu85	murJ	1	TRUE	unknown	0	125	6	179
85	MG1655	1129414	1130863	flgAMN	-	operon_tu86	flgA;flgM;flgN	3	TRUE	sigma28	15	548	3	209
86	MG1655	1131018	1138312	flgBCDEFGHIJ	+	operon_tu87	flgB;flgC;flgD;flgE;flgF;flgG;flgH;flgI;flgJ	9	TRUE	sigma70	61	3946	10	742
87	MG1655	113444	114487	guaC	+	operon_tu88	guaC	1	TRUE	unknown	8	359	81	2217
88	MG1655	11382	11786	yaaI	-	operon_tu89	yaaI	1	TRUE	unknown	0	8	0	28
89	MG1655	1138378	1141063	flgK	+	operon_tu90	flgK;flgL;flgO	3	TRUE	sigma28	13	401	2	311
90	MG1655	1141182	1144367	rne	-	operon_tu91	rne	1	TRUE	sigma70	68	3456	104	3566
91	MG1655	1144502	1144822	yceQ	+	operon_tu92	yceQ	1	TRUE	unknown	0	41	2	40
92	MG1655	1144940	1145899	rluC	+	operon_tu93	rluC	1	TRUE	unknown	5	172	10	317
93	MG1655	114522	117549	ppdD-hofBC	-	operon_tu94	ppdD;hofB;hofC	3	TRUE	sigma70	0	78	1	184
94	MG1655	1146011	1146595	yceF	-	operon_tu95	yceF	1	TRUE	unknown	2	136	8	305
95	MG1655	1146589	1146757	sraB	+	operon_tu96	sraB	1	FALSE	unknown	0	62	0	55
96	MG1655	1146794	1153180	rpmF-plsX-fabHDG	+	operon_tu97	yceD;rpmF;plsX;fabH;fabD;fabG;acpP;fabF	8	TRUE	sigma70	188	14675	263	16173
97	MG1655	1153300	1157574	pabC-mltG-tmk-holB-ycfH	+	operon_tu98	pabC;mltG;tmk;holB;ycfH	5	TRUE	unknown	7	452	35	947
98	MG1655	1157869	1159302	ptsG	+	operon_tu99	ptsG	1	TRUE	sigma70	123	4956	213	6179
99	MG1655	1159362	1161551	fhuE	-	operon_tu100	fhuE	1	TRUE	unknown	1	72	1	104
100	MG1655	1161885	1165685	hinT-ycfL-lpoB-thiK-nagZ-ycfP	+	operon_tu101	hinT;ycfL;lpoB;thiK;nagZ;ycfP	6	TRUE	unknown	27	2115	82	4416
101	MG1655	1166085	1167389	ndh	+	operon_tu102	ndh	1	TRUE	sigma70	14	2033	64	2876
102	MG1655	1167599	1168138	ycfJ	+	operon_tu103	ycfJ	1	TRUE	unknown	0	41	1	49
103	MG1655	1168200	1168832	comR	-	operon_tu104	comR	1	TRUE	unknown	2	132	33	784
104	MG1655	1169073	1169330	bhsA	+	operon_tu105	bhsA	1	TRUE	sigma70	0	17	5	404
105	MG1655	1169412	1170374	ldtC	-	operon_tu106	ldtC	1	TRUE	sigma70	0	35	1	67
106	MG1655	1170518	1173964	mfd	-	operon_tu107	mfd	1	TRUE	sigma70	5	552	149	5971
107	MG1655	1174092	1175165	ycfT	-	operon_tu108	ycfT	1	TRUE	unknown	0	2	0	37
108	MG1655	1175427	1178564	lolCDE	+	operon_tu109	lolC;lolD;lolE	3	TRUE	unknown	3	409	9	482
109	MG1655	117752	118645	nadC	-	operon_tu110	nadC	1	TRUE	unknown	3	305	5	346
110	MG1655	1178593	1180359	nagK-cobB	+	operon_tu111	nagK;cobB	2	TRUE	unknown	7	653	15	982
111	MG1655	1180479	1181725	ymfA-ycfZ	-	operon_tu112	ymfA;ycfZ	2	TRUE	unknown	0	24	1	41
112	MG1655	1181783	1185594	potABCD	-	operon_tu113	potA;potB;potC;potD	4	TRUE	unknown	9	1101	15	870
113	MG1655	1185844	1187070	pepT	+	operon_tu114	pepT	1	TRUE	unknown	7	468	16	1244
114	MG1655	1187119	1188240	roxA	-	operon_tu115	roxA	1	TRUE	unknown	18	657	44	1285
115	MG1655	118733	120135	ampDE	+	operon_tu116	ampD;ampE	2	TRUE	unknown	27	940	27	752
116	MG1655	1188316	1190447	phoPQ	-	operon_tu117	phoP;phoQ	2	TRUE	sigma32	13	1033	41	1446
117	MG1655	1190616	1192631	hflD-purB	-	operon_tu118	hflD;purB	2	TRUE	sigma70	0	303	10	621
118	MG1655	1192667	1193773	mnmA	-	operon_tu119	mnmA	1	TRUE	unknown	3	171	14	470
119	MG1655	1193827	1194951	rluE-nudJ	-	operon_tu120	rluE;nudJ	2	TRUE	unknown	0	96	4	196
120	MG1655	1195123	1196373	icd	+	operon_tu121	icd	1	TRUE	sigma70	25	5243	20	1649
121	MG1655	1196711	1196782	C0293	+	operon_tu122	C0293	1	FALSE	unknown	0	13	0	16
122	MG1655	1196867	1198237	ymfED	-	operon_tu123	ymfE;ymfD	2	TRUE	unknown	0	115	2	144
123	MG1655	1198695	1199588	lit	+	operon_tu124	lit	1	TRUE	unknown	1	111	0	144
124	MG1655	1199679	1201380	ymfH-xisE-intE	-	operon_tu125	ymfH;xisE;intE	3	TRUE	unknown	3	117	8	233
125	MG1655	1201497	1201838	ymfI	+	operon_tu126	ymfI	1	TRUE	unknown	2	118	1	83
126	MG1655	1201776	1202084	ymfJ	-	operon_tu127	ymfJ	1	TRUE	unknown	0	39	0	120
127	MG1655	120178	121551	aroP	-	operon_tu128	aroP	1	TRUE	sigma70	1	126	12	304
128	MG1655	1202259	1202933	ymfK	-	operon_tu129	ymfK	1	TRUE	unknown	1	148	41	808
129	MG1655	1203024	1208545	ymfTLMNR-beeE-jayE-ymfQ-ycfK-tfaP	+	operon_tu130	ymfT;ymfL;ymfM;ymfN;ymfR;beeE;jayE;ymfQ;ycfK;tfaP	10	TRUE	unknown	0	53	8	247
130	MG1655	1208517	1209655	stfE-tfaE	-	operon_tu131	stfE;tfaE	2	TRUE	unknown	0	33	2	74
131	MG1655	1209685	1210239	pinE	+	operon_tu132	pinE	1	TRUE	unknown	0	21	1	28
132	MG1655	1210346	1211179	mcrA	+	operon_tu133	mcrA	1	TRUE	unknown	0	29	3	63
133	MG1655	1211413	1211577	icdC	+	operon_tu134	icdC	1	FALSE	unknown	0	1	0	6
134	MG1655	1211680	1212003	iraM	-	operon_tu135	iraM	1	TRUE	sigma70	0	25	0	45
135	MG1655	1212703	1213107	ycgX	-	operon_tu136	ycgX	1	TRUE	unknown	0	12	1	53
136	MG1655	1213328	1214059	bluR	-	operon_tu137	bluR	1	TRUE	sigma70	1	218	11	499
137	MG1655	1214264	1215475	bluF	-	operon_tu138	bluF	1	TRUE	sigma70	0	24	10	233
138	MG1655	1215789	1216996	ycgZ-ymgA-ariR-ymgC	+	operon_tu139	ycgZ;ymgA;ariR;ymgC	4	TRUE	sigma70	0	43	1	176
139	MG1655	12163	15298	tpke11	+	operon_tu140	dnaK;tpke11;dnaJ	3	TRUE	sigma32	15	1875	7798	198154
140	MG1655	1217328	1218851	pdeG	+	operon_tu141	pdeG	1	TRUE	unknown	0	24	3	60
141	MG1655	1218983	1219201	ymgF	+	operon_tu142	ymgF	1	TRUE	unknown	0	8	0	34
142	MG1655	1219601	1222248	ycgH	+	operon_tu143	ycgH	1	FALSE	unknown	0	113	3	347
143	MG1655	122092	129336	pdhR-aceEF-lpdA	+	operon_tu144	pdhR;aceE;aceF;lpd	4	TRUE	sigma70	140	20158	304	21773
144	MG1655	1222305	1222988	ymgGD	-	operon_tu145	ymgG;ymgD	2	TRUE	unknown	0	23	5	131
145	MG1655	1223564	1223907	ycgI	+	operon_tu146	ycgI	1	FALSE	unknown	0	10	0	44
146	MG1655	1224279	1226080	minCDE	-	operon_tu147	minC;minD;minE	3	TRUE	unknown	15	2305	25	1945
147	MG1655	1226600	1226968	ycgJ	+	operon_tu148	ycgJ	1	TRUE	unknown	2	76	4	229
148	MG1655	1227071	1227472	pliG	-	operon_tu149	pliG	1	TRUE	unknown	0	167	5	479
149	MG1655	1227681	1228007	ycgL	+	operon_tu150	ycgL	1	TRUE	unknown	1	65	1	128
150	MG1655	1228079	1228738	ycgM	+	operon_tu151	ycgM	1	TRUE	unknown	6	209	9	327
151	MG1655	1228815	1229276	ycgN	+	operon_tu152	ycgN	1	TRUE	unknown	1	66	1	151
152	MG1655	1229483	1230394	hlyE	-	operon_tu153	hlyE	1	TRUE	unknown	0	7	0	65
153	MG1655	1230767	1232454	umuDC	+	operon_tu154	umuD;umuC	2	TRUE	sigma70	0	48	5	114
154	MG1655	1232500	1233030	dsbB	-	operon_tu155	dsbB	1	TRUE	unknown	1	127	9	193
155	MG1655	1233176	1234717	nhaB	-	operon_tu156	nhaB	1	TRUE	unknown	3	341	11	559
156	MG1655	1234938	1235657	fadR	+	operon_tu157	fadR	1	TRUE	sigma70	12	422	9	305
157	MG1655	1235709	1237241	ycgB	-	operon_tu158	ycgB	1	TRUE	unknown	4	391	21	1330
158	MG1655	1237571	1239949	dadAX	+	operon_tu159	dadA;dadX	2	TRUE	sigma70	4	237	29	833
159	MG1655	1240335	1242071	cvrA	-	operon_tu160	cvrA	1	TRUE	unknown	1	121	4	123
160	MG1655	1242166	1243080	ldcA	-	operon_tu161	ldcA	1	TRUE	unknown	2	141	0	207
161	MG1655	1243180	1243791	emtA	+	operon_tu162	emtA	1	TRUE	unknown	0	49	2	239
162	MG1655	1243793	1244527	ycgR	-	operon_tu163	ycgR	1	TRUE	sigma28	0	31	0	44
163	MG1655	1244728	1244982	ymgE	+	operon_tu164	ymgE	1	TRUE	unknown	0	36	0	235
164	MG1655	1245160	1245600	ycgY	+	operon_tu165	ycgY	1	TRUE	unknown	0	19	0	20
165	MG1655	1245679	1247376	treA	-	operon_tu166	treA	1	TRUE	sigma38	0	208	3	584
166	MG1655	1247696	1250838	dhaKLM	-	operon_tu167	dhaK;dhaL;dhaM	3	TRUE	sigma38	14	1564	21	1820
167	MG1655	1251066	1252985	dhaR	+	operon_tu168	dhaR	1	TRUE	sigma38	1	105	7	432
168	MG1655	1253085	1255952	ycgV	-	operon_tu169	ycgV	1	TRUE	unknown	4	99	9	287
169	MG1655	1256721	1258513	pth-ychF	-	operon_tu170	pth;ychF	2	TRUE	sigma70	3	287	42	1094
170	MG1655	1258791	1259069	ychH	+	operon_tu171	ychH	1	TRUE	sigma70	74	3185	111	18276
171	MG1655	1259124	1260803	dauA	-	operon_tu172	dauA	1	TRUE	unknown	4	206	3	242
172	MG1655	1260928	1263500	lolB-ispE-prs	-	operon_tu173	lolB;ispE;prs	3	TRUE	sigma28	18	1146	72	2130
173	MG1655	1263714	1266927	hemA-prfA-prmC	+	operon_tu174	hemA;prfA;prmC	3	TRUE	sigma70	11	661	49	1092
174	MG1655	1266924	1269019	ychQA-kdsA	+	operon_tu175	ychQ;ychA;kdsA	3	TRUE	sigma70	7	943	40	2235
175	MG1655	1269168	1269275	ldrA	-	operon_tu176	ldrA	1	TRUE	unknown	0	32	0	47
176	MG1655	1269323	1269389	rdlA	+	operon_tu177	rdlA	1	FALSE	unknown	4	607	2	1237
177	MG1655	1269703	1269810	ldrB	-	operon_tu178	ldrB	1	TRUE	unknown	0	16	0	23
178	MG1655	1269858	1269923	rdlB	+	operon_tu179	rdlB	1	FALSE	unknown	1	347	5	837
179	MG1655	1270238	1270345	ldrC	-	operon_tu180	ldrC	1	TRUE	unknown	0	4	0	0
180	MG1655	1270393	1270460	rdlC	+	operon_tu181	rdlC	1	FALSE	unknown	0	334	4	933
181	MG1655	1270749	1271849	chaA	-	operon_tu182	chaA	1	TRUE	unknown	0	61	1	124
182	MG1655	1272119	1273202	chaBC	+	operon_tu183	chaB;chaC	2	TRUE	sigma54	0	196	3	408
183	MG1655	1273246	1273599	ychN	-	operon_tu184	ychN	1	TRUE	unknown	7	989	9	653
184	MG1655	1273784	1275178	ychO	+	operon_tu185	ychO	1	TRUE	sigma70	1	80	1	101
185	MG1655	1275179	1277618	narXL	-	operon_tu186	narX;narL	2	TRUE	sigma70	4	437	16	1399
186	MG1655	1277957	1279520	narK	+	operon_tu187	narK;narS	2	TRUE	sigma70	0	73	3	172
187	MG1655	1279864	1286526	narGHJI	+	operon_tu188	narG;narH;narJ;narI	4	TRUE	sigma70	12	1133	10	823
188	MG1655	1286709	1286984	ychS	+	operon_tu189	ychS	1	TRUE	unknown	0	9	1	15
189	MG1655	1287066	1287236	rttR	-	operon_tu190	rttR	1	FALSE	unknown	0	1	0	6
190	MG1655	1287087	1287622	tyrTV-tpr	-	operon_tu191	tyrT;tyrV;tpr	3	TRUE	sigma70	4	1699	33	3053
191	MG1655	1287782	1289132	ychJ-purU	-	operon_tu192	ychJ;purU	2	TRUE	sigma70	2	312	13	490
192	MG1655	1289245	1291255	rssAB	+	operon_tu193	rssA;rssB	2	TRUE	sigma38	6	365	32	1090
193	MG1655	1291457	1292365	galU	+	operon_tu194	galU	1	TRUE	unknown	3	410	18	1234
194	MG1655	1292509	1292922	hns	-	operon_tu195	hns	1	TRUE	sigma70	10	2545	66	4854
195	MG1655	1293527	1294144	tdk	+	operon_tu196	tdk	1	TRUE	unknown	0	72	3	172
196	MG1655	129407	131260	yacH	-	operon_tu197	yacH	1	TRUE	unknown	0	43	0	102
197	MG1655	1294426	1295322	insZ	-	operon_tu198	insZ	1	FALSE	unknown	0	59	2	99
198	MG1655	1295446	1298121	adhE	-	operon_tu199	adhE	1	TRUE	sigma38	284	25834	1500	80987
199	MG1655	1298598	1299245	ychE	+	operon_tu200	ychE	1	TRUE	unknown	4	87	14	207
200	MG1655	1301182	1306768	oppABCDF	+	operon_tu201	oppA;oppB;oppC;oppD;oppF	5	TRUE	sigma28	402	14111	670	10555
201	MG1655	1306821	1308645	clsA-yciU	-	operon_tu202	clsA;yciU	2	TRUE	unknown	18	699	43	1169
202	MG1655	1308788	1308961	yciY	+	operon_tu203	yciY	1	TRUE	unknown	3	102	8	222
203	MG1655	1309016	1310269	kch	-	operon_tu204	kch	1	TRUE	unknown	2	94	3	157
204	MG1655	1310569	1310865	yciI	-	operon_tu205	yciI	1	TRUE	unknown	2	260	7	176
205	MG1655	1311089	1311808	tonB	+	operon_tu206	tonB	1	TRUE	sigma70	0	64	5	129
206	MG1655	1311848	1312246	yciA	-	operon_tu207	yciA	1	TRUE	unknown	0	49	0	134
207	MG1655	1312351	1313663	yciCB	-	operon_tu208	yciC;yciB	2	TRUE	sigma70	3	184	3	271
208	MG1655	1314020	1314658	ompW	+	operon_tu209	ompW	1	TRUE	unknown	0	79	4	411
209	MG1655	1314718	1316035	yciGFE	-	operon_tu210	yciG;yciF;yciE	3	TRUE	sigma38	0	57	3	271
210	MG1655	131615	134212	acnB	+	operon_tu211	acnB	1	TRUE	sigma70	21	7056	26	2527
211	MG1655	1316416	1323082	trpLEDCBA	-	operon_tu212	trpL;trpE;trpD;trpC;trpB;trpA	6	TRUE	sigma70	4	368	8	504
212	MG1655	1323220	1326641	yciVOQ	+	operon_tu213	rnm;yciO;yciQ	3	TRUE	unknown	3	431	15	1347
213	MG1655	1326852	1327727	rluB	+	operon_tu214	rluB	1	TRUE	unknown	0	167	7	218
214	MG1655	1327767	1329112	yciK-btuR	-	operon_tu215	yciK;btuR	2	TRUE	unknown	2	207	18	566
215	MG1655	1329332	1330381	sohB	+	operon_tu216	sohB	1	TRUE	sigma70	5	599	18	592
216	MG1655	1330417	1330668	yciN	-	operon_tu217	yciN	1	TRUE	unknown	3	567	6	1026
217	MG1655	1331048	1333645	topA	+	operon_tu218	topA	1	TRUE	sigma70	1	341	85	2445
218	MG1655	1333855	1334829	cysB	+	operon_tu219	cysB	1	TRUE	sigma70	6	309	9	297
219	MG1655	1335148	1335458	ymiA-yciX	+	operon_tu220	ymiA;yciX	2	TRUE	sigma70	8	297	21	437
220	MG1655	1335572	1338506	acnA	+	operon_tu221	ymiC;acnA	2	TRUE	sigma70	6	593	18	1608
221	MG1655	1338570	1339160	ribA	-	operon_tu222	ribA	1	TRUE	sigma70	0	246	13	286
222	MG1655	1339330	1340094	pgpB	+	operon_tu223	pgpB	1	TRUE	sigma70	2	160	4	297
223	MG1655	1340243	1342984	yciSM-pyrF-yciH	+	operon_tu224	lapA;lapB;pyrF;yciH	4	TRUE	sigma70	8	616	175	3328
224	MG1655	1343110	1343328	osmB	-	operon_tu225	osmB	1	TRUE	sigma38	0	38	0	245
225	MG1655	1343597	1344609	yciZT	-	operon_tu226	yciZ;yciT	2	TRUE	sigma38	8	448	3	373
226	MG1655	134388	134750	yacL	+	operon_tu227	yacL	1	TRUE	unknown	4	255	1	310
227	MG1655	1344757	1346742	pdeR	-	operon_tu228	pdeR	1	TRUE	sigma38	2	239	35	1405
228	MG1655	1346978	1348912	rnb	-	operon_tu229	rnb	1	TRUE	sigma70	2	201	19	516
229	MG1655	134788	136917	yacC-speED	-	operon_tu230	yacC;speE;speD	3	TRUE	sigma70	6	531	15	626
230	MG1655	1348980	1350107	yciW	-	operon_tu231	yciW	1	TRUE	sigma70	1	27	0	49
231	MG1655	1350251	1351039	fabI	-	operon_tu232	fabI	1	TRUE	unknown	8	793	14	925
232	MG1655	1351407	1351760	ycjD	-	operon_tu233	ycjD	1	TRUE	unknown	0	44	0	35
233	MG1655	1351828	1357110	sapABCDF	-	operon_tu234	sapA;sapB;sapC;sapD;sapF	5	TRUE	unknown	11	556	19	906
234	MG1655	1357423	1357668	ymjA	-	operon_tu235	ymjA	1	TRUE	unknown	2	19	1	18
235	MG1655	1357802	1360908	puuAP	-	operon_tu236	puuA;ymjE;puuP	3	TRUE	sigma38	1	47	2	116
236	MG1655	1361120	1366815	puuDRCBE	+	operon_tu237	puuD;puuR;puuC;puuB;puuE	5	TRUE	sigma38	2	125	2	349
237	MG1655	1366935	1367912	pspF	-	operon_tu238	pspF	1	TRUE	sigma70	0	92	2	249
238	MG1655	1368079	1370003	pspABCDE	+	operon_tu239	pspA;pspB;pspC;pspD;pspE	5	TRUE	sigma54	11	2132	32	2220
239	MG1655	1370216	1382852	ycjMNOPQRSTUV-ymjB-ompG	+	operon_tu240	ycjM;ycjN;ycjO;ycjP;ycjQ;ycjR;ycjS;ycjT;ycjU;ycjV;ymjB;ompG	12	TRUE	unknown	2	313	4	590
240	MG1655	137083	138633	cueO	+	operon_tu241	cueO	1	TRUE	unknown	2	149	2	328
241	MG1655	1382963	1383961	ycjW	-	operon_tu242	ycjW	1	TRUE	unknown	5	101	3	201
242	MG1655	1384117	1388261	ycjXF-tyrR	+	operon_tu243	ycjX;ycjF;tyrR	3	TRUE	sigma32	12	587	132	5030
