chrom	operon_name	strand	GeneID	genes	sigma	nascent_wt	totat_wt	nascent_wt44	totat_wt44	operon_id	start	end	keep
NC_000913.3	mdoC	-	operon_tu66	opgC	unknown	1	71	0	142	RDBECOLIOPC01950	1107784	1108941	False
NC_000913.3	mdoGH	+	operon_tu67	opgG;opgH	sigma70	19	1539	123	3439	RDBECOLIOPC03259	1109335	1113406	True
NC_000913.3	mdtG	-	operon_tu70	mdtG	unknown	1	131	2	193	RDBECOLIOPC01446	1114264	1115490	False
NC_000913.3	lpxL	-	operon_tu71	lpxL	unknown	1	204	15	416	RDBECOLIOPC02382	1115662	1116582	False
NC_000913.3	coaE-zapD-yacG	-	operon_tu72	coaE;zapD;yacG	unknown	2	385	22	877	RDBECOLIOPC02684	111649	113219	True
NC_000913.3	yceA	+	operon_tu73	trhO	unknown	1	63	8	152	RDBECOLIOPC01229	1116807	1117859	False
NC_000913.3	yceJI	-	operon_tu74	yceJ;yceI	sigma70	0	101	0	131	RDBECOLIOPC02354	1117901	1119046	False
NC_000913.3	solA-yceO	-	operon_tu75	solA;yceO	unknown	0	206	3	351	RDBECOLIOPC02108	1119307	1120586	False
NC_000913.3	pyrC	-	operon_tu78	pyrC	sigma70	1	158	8	341	RDBECOLIOPC01904	1121561	1122607	False
NC_000913.3	yceB	-	operon_tu79	yceB	unknown	1	98	2	164	RDBECOLIOPC00274	1122713	1123273	False
NC_000913.3	grxB	-	operon_tu80	grxB	sigma70	5	443	4	339	RDBECOLIOPC01742	1123407	1124054	False
NC_000913.3	mdtH	-	operon_tu81	mdtH	unknown	1	84	1	94	RDBECOLIOPC00772	1124118	1125326	False
NC_000913.3	rimJ	+	operon_tu82	rimJ	unknown	4	346	8	354	RDBECOLIOPC00960	1125562	1126146	False
NC_000913.3	yceH	+	operon_tu83	yceH	unknown	16	403	16	489	RDBECOLIOPC00246	1126157	1126804	False
NC_000913.3	mviM	+	operon_tu84	yceM	unknown	4	568	24	627	RDBECOLIOPC01814	1126806	1127729	False
NC_000913.3	murJ	+	operon_tu85	murJ	unknown	0	125	6	179	RDBECOLIOPC00005	1127839	1129374	True
NC_000913.3	flgAMN	-	operon_tu86	flgA;flgM;flgN	sigma28	15	548	3	209	RDBECOLIOPC02063	1129414	1130863	False
NC_000913.3	flgBCDEFGHIJ	+	operon_tu87	flgB;flgC;flgD;flgE;flgF;flgG;flgH;flgI;flgJ	sigma70	61	3946	10	742	RDBECOLIOPC01043	1131018	1138312	True
NC_000913.3	guaC	+	operon_tu88	guaC	unknown	8	359	81	2217	RDBECOLIOPC00722	113444	114487	False
NC_000913.3	flgK	+	operon_tu90	flgK;flgL;flgO	sigma28	13	401	2	311	RDBECOLIOPC00562	1138378	1141063	True
NC_000913.3	rne	-	operon_tu91	rne	sigma70	68	3456	104	3566	RDBECOLIOPC03431	1141182	1144367	True
NC_000913.3	rluC	+	operon_tu93	rluC	unknown	5	172	10	317	RDBECOLIOPC00492	1144940	1145899	False
NC_000913.3	ppdD-hofBC	-	operon_tu94	ppdD;hofB;hofC	sigma70	0	78	1	184	RDBECOLIOPC02432	114522	117549	True
NC_000913.3	yceF	-	operon_tu95	yceF	unknown	2	136	8	305	RDBECOLIOPC01102	1146011	1146595	False
NC_000913.3	rpmF-plsX-fabHDG	+	operon_tu97	yceD;rpmF;plsX;fabH;fabD;fabG;acpP;fabF	sigma70	188	14675	263	16173	RDBECOLIOPC03425	1146794	1153180	True
NC_000913.3	pabC-mltG-tmk-holB-ycfH	+	operon_tu98	pabC;mltG;tmk;holB;ycfH	unknown	7	452	35	947	RDBECOLIOPC02161	1153300	1157574	True
NC_000913.3	ptsG	+	operon_tu99	ptsG	sigma70	123	4956	213	6179	RDBECOLIOPC02064	1157869	1159302	False
NC_000913.3	fhuE	-	operon_tu100	fhuE	unknown	1	72	1	104	RDBECOLIOPC01155	1159362	1161551	True
NC_000913.3	hinT-ycfL-lpoB-thiK-nagZ-ycfP	+	operon_tu101	hinT;ycfL;lpoB;thiK;nagZ;ycfP	unknown	27	2115	82	4416	RDBECOLIOPC01080	1161885	1165685	True
NC_000913.3	ndh	+	operon_tu102	ndh	sigma70	14	2033	64	2876	RDBECOLIOPC01813	1166085	1167389	False
NC_000913.3	ycfJ	+	operon_tu103	ycfJ	unknown	0	41	1	49	RDBECOLIOPC00219	1167599	1168138	False
NC_000913.3	comR	-	operon_tu104	comR	unknown	2	132	33	784	RDBECOLIOPC00256	1168200	1168832	False
NC_000913.3	ldtC	-	operon_tu106	ldtC	sigma70	0	35	1	67	RDBECOLIOPC01783	1169412	1170374	False
NC_000913.3	mfd	-	operon_tu107	mfd	sigma70	5	552	149	5971	RDBECOLIOPC02670	1170518	1173964	True
NC_000913.3	ycfT	-	operon_tu108	ycfT	unknown	0	2	0	37	RDBECOLIOPC00814	1174092	1175165	False
NC_000913.3	lolCDE	+	operon_tu109	lolC;lolD;lolE	unknown	3	409	9	482	RDBECOLIOPC02519	1175427	1178564	True
NC_000913.3	nadC	-	operon_tu110	nadC	unknown	3	305	5	346	RDBECOLIOPC01370	117752	118645	False
NC_000913.3	nagK-cobB	+	operon_tu111	nagK;cobB	unknown	7	653	15	982	RDBECOLIOPC01431	1178593	1180359	True
NC_000913.3	ymfA-ycfZ	-	operon_tu112	ymfA;ycfZ	unknown	0	24	1	41	RDBECOLIOPC00532	1180479	1181725	False
NC_000913.3	potABCD	-	operon_tu113	potA;potB;potC;potD	unknown	9	1101	15	870	RDBECOLIOPC00393	1181783	1185594	True
NC_000913.3	pepT	+	operon_tu114	pepT	unknown	7	468	16	1244	RDBECOLIOPC00075	1185844	1187070	False
NC_000913.3	roxA	-	operon_tu115	roxA	unknown	18	657	44	1285	RDBECOLIOPC02087	1187119	1188240	False
NC_000913.3	ampDE	+	operon_tu116	ampD;ampE	unknown	27	940	27	752	RDBECOLIOPC01344	118733	120135	False
NC_000913.3	phoPQ	-	operon_tu117	phoP;phoQ	sigma32	13	1033	41	1446	RDBECOLIOPC02441	1188316	1190447	True
NC_000913.3	hflD-purB	-	operon_tu118	hflD;purB	sigma70	0	303	10	621	RDBECOLIOPC00093	1190616	1192631	True
NC_000913.3	mnmA	-	operon_tu119	mnmA	unknown	3	171	14	470	RDBECOLIOPC01402	1192667	1193773	False
NC_000913.3	rluE-nudJ	-	operon_tu120	rluE;nudJ	unknown	0	96	4	196	RDBECOLIOPC01110	1193827	1194951	False
NC_000913.3	icd	+	operon_tu121	icd	sigma70	25	5243	20	1649	RDBECOLIOPC01922	1195123	1196373	False
NC_000913.3	ymfED	-	operon_tu123	ymfE;ymfD	unknown	0	115	2	144	RDBECOLIOPC00262	1196867	1198237	False
NC_000913.3	lit	+	operon_tu124	lit	unknown	1	111	0	144	RDBECOLIOPC01244	1198695	1199588	False
NC_000913.3	ymfH-xisE-intE	-	operon_tu125	ymfH;xisE;intE	unknown	3	117	8	233	RDBECOLIOPC01726	1199679	1201380	True
NC_000913.3	aroP	-	operon_tu128	aroP	sigma70	1	126	12	304	RDBECOLIOPC01951	120178	121551	False
NC_000913.3	ymfK	-	operon_tu129	ymfK	unknown	1	148	41	808	RDBECOLIOPC02585	1202259	1202933	False
NC_000913.3	ymfTLMNR-beeE-jayE-ymfQ-ycfK-tfaP	+	operon_tu130	ymfT;ymfL;ymfM;ymfN;ymfR;beeE;jayE;ymfQ;ycfK;tfaP	unknown	0	53	8	247	RDBECOLIOPC01373	1203024	1208545	True
NC_000913.3	stfE-tfaE	-	operon_tu131	stfE;tfaE	unknown	0	33	2	74	RDBECOLIOPC00477	1208517	1209655	False
NC_000913.3	pinE	+	operon_tu132	pinE	unknown	0	21	1	28	RDBECOLIOPC02145	1209685	1210239	False
NC_000913.3	mcrA	+	operon_tu133	mcrA	unknown	0	29	3	63	RDBECOLIOPC01073	1210346	1211179	False
NC_000913.3	bluR	-	operon_tu137	bluR	sigma70	1	218	11	499	RDBECOLIOPC02499	1213328	1214059	False
NC_000913.3	bluF	-	operon_tu138	bluF	sigma70	0	24	10	233	RDBECOLIOPC00901	1214264	1215475	False
NC_000913.3	ycgZ-ymgA-ariR-ymgC	+	operon_tu139	ycgZ;ymgA;ariR;ymgC	sigma70	0	43	1	176	RDBECOLIOPC03483	1215789	1216996	False
NC_000913.3	tpke11	+	operon_tu140	dnaK;tpke11;dnaJ	sigma32	15	1875	7798	198154	RDBECOLIOPC02434	12163	15298	True
NC_000913.3	pdeG	+	operon_tu141	pdeG	unknown	0	24	3	60	RDBECOLIOPC01099	1217328	1218851	True
NC_000913.3	ycgH	+	operon_tu143	ycgH	unknown	0	113	3	347	RDBECOLIOPC01710	1219601	1222248	True
NC_000913.3	pdhR-aceEF-lpdA	+	operon_tu144	pdhR;aceE;aceF;lpd	sigma70	140	20158	304	21773	RDBECOLIOPC03243	122092	129336	True
NC_000913.3	ymgGD	-	operon_tu145	ymgG;ymgD	unknown	0	23	5	131	RDBECOLIOPC00751	1222305	1222988	False
NC_000913.3	minCDE	-	operon_tu147	minC;minD;minE	unknown	15	2305	25	1945	RDBECOLIOPC01984	1224279	1226080	True
NC_000913.3	ycgM	+	operon_tu151	ycgM	unknown	6	209	9	327	RDBECOLIOPC00466	1228079	1228738	False
NC_000913.3	hlyE	-	operon_tu153	hlyE	unknown	0	7	0	65	RDBECOLIOPC02540	1229483	1230394	False
NC_000913.3	umuDC	+	operon_tu154	umuD;umuC	sigma70	0	48	5	114	RDBECOLIOPC01122	1230767	1232454	True
NC_000913.3	dsbB	-	operon_tu155	dsbB	unknown	1	127	9	193	RDBECOLIOPC01065	1232500	1233030	False
NC_000913.3	nhaB	-	operon_tu156	nhaB	unknown	3	341	11	559	RDBECOLIOPC00195	1233176	1234717	True
NC_000913.3	fadR	+	operon_tu157	fadR	sigma70	12	422	9	305	RDBECOLIOPC02687	1234938	1235657	False
NC_000913.3	ycgB	-	operon_tu158	ycgB	unknown	4	391	21	1330	RDBECOLIOPC00754	1235709	1237241	True
NC_000913.3	dadAX	+	operon_tu159	dadA;dadX	sigma70	4	237	29	833	RDBECOLIOPC03159	1237571	1239949	True
NC_000913.3	cvrA	-	operon_tu160	cvrA	unknown	1	121	4	123	RDBECOLIOPC01752	1240335	1242071	True
NC_000913.3	ldcA	-	operon_tu161	ldcA	unknown	2	141	0	207	RDBECOLIOPC00787	1242166	1243080	False
NC_000913.3	emtA	+	operon_tu162	emtA	unknown	0	49	2	239	RDBECOLIOPC00973	1243180	1243791	False
NC_000913.3	ycgR	-	operon_tu163	ycgR	sigma28	0	31	0	44	RDBECOLIOPC00295	1243793	1244527	False
NC_000913.3	treA	-	operon_tu166	treA	sigma38	0	208	3	584	RDBECOLIOPC02290	1245679	1247376	True
NC_000913.3	dhaKLM	-	operon_tu167	dhaK;dhaL;dhaM	sigma38	14	1564	21	1820	RDBECOLIOPC01705	1247696	1250838	True
NC_000913.3	dhaR	+	operon_tu168	dhaR	sigma38	1	105	7	432	RDBECOLIOPC01039	1251066	1252985	True
NC_000913.3	ycgV	-	operon_tu169	ycgV	unknown	4	99	9	287	RDBECOLIOPC00785	1253085	1255952	True
NC_000913.3	pth-ychF	-	operon_tu170	pth;ychF	sigma70	3	287	42	1094	RDBECOLIOPC02260	1256721	1258513	True
NC_000913.3	dauA	-	operon_tu172	dauA	unknown	4	206	3	242	RDBECOLIOPC02478	1259124	1260803	True
NC_000913.3	lolB-ispE-prs	-	operon_tu173	lolB;ispE;prs	sigma28	18	1146	72	2130	RDBECOLIOPC02719	1260928	1263500	True
NC_000913.3	hemA-prfA-prmC	+	operon_tu174	hemA;prfA;prmC	sigma70	11	661	49	1092	RDBECOLIOPC00936	1263714	1266927	True
NC_000913.3	ychQA-kdsA	+	operon_tu175	ychQ;ychA;kdsA	sigma70	7	943	40	2235	RDBECOLIOPC02720	1266924	1269019	True
NC_000913.3	chaA	-	operon_tu182	chaA	unknown	0	61	1	124	RDBECOLIOPC02471	1270749	1271849	False
NC_000913.3	chaBC	+	operon_tu183	chaB;chaC	sigma54	0	196	3	408	RDBECOLIOPC02604	1272119	1273202	False
NC_000913.3	ychO	+	operon_tu185	ychO	sigma70	1	80	1	101	RDBECOLIOPC01069	1273784	1275178	False
NC_000913.3	narXL	-	operon_tu186	narX;narL	sigma70	4	437	16	1399	RDBECOLIOPC01096	1275179	1277618	True
NC_000913.3	narK	+	operon_tu187	narK;narS	sigma70	0	73	3	172	RDBECOLIOPC01264	1277957	1279520	True
NC_000913.3	narGHJI	+	operon_tu188	narG;narH;narJ;narI	sigma70	12	1133	10	823	RDBECOLIOPC01918	1279864	1286526	True
NC_000913.3	tyrTV-tpr	-	operon_tu191	tyrT;tyrV;tpr	sigma70	4	1699	33	3053	RDBECOLIOPC01487	1287087	1287622	False
NC_000913.3	ychJ-purU	-	operon_tu192	ychJ;purU	sigma70	2	312	13	490	RDBECOLIOPC03444	1287782	1289132	False
NC_000913.3	rssAB	+	operon_tu193	rssA;rssB	sigma38	6	365	32	1090	RDBECOLIOPC02319	1289245	1291255	True
NC_000913.3	galU	+	operon_tu194	galU	unknown	3	410	18	1234	RDBECOLIOPC02526	1291457	1292365	False
NC_000913.3	tdk	+	operon_tu196	tdk	unknown	0	72	3	172	RDBECOLIOPC00639	1293527	1294144	False
NC_000913.3	yacH	-	operon_tu197	yacH	unknown	0	43	0	102	RDBECOLIOPC00310	129407	131260	True
NC_000913.3	insZ	-	operon_tu198	insZ	unknown	0	59	2	99	RDBECOLIOPC00235	1294426	1295322	False
NC_000913.3	adhE	-	operon_tu199	adhE	sigma38	284	25834	1500	80987	RDBECOLIOPC03453	1295446	1298121	True
NC_000913.3	ychE	+	operon_tu200	ychE	unknown	4	87	14	207	RDBECOLIOPC01691	1298598	1299245	False
NC_000913.3	oppABCDF	+	operon_tu201	oppA;oppB;oppC;oppD;oppF	sigma28	402	14111	670	10555	RDBECOLIOPC03429	1301182	1306768	True
NC_000913.3	clsA-yciU	-	operon_tu202	clsA;yciU	unknown	18	699	43	1169	RDBECOLIOPC02048	1306821	1308645	True
NC_000913.3	kch	-	operon_tu204	kch	unknown	2	94	3	157	RDBECOLIOPC00803	1309016	1310269	False
NC_000913.3	tonB	+	operon_tu206	tonB	sigma70	0	64	5	129	RDBECOLIOPC00782	1311089	1311808	False
NC_000913.3	yciCB	-	operon_tu208	yciC;yciB	sigma70	3	184	3	271	RDBECOLIOPC01346	1312351	1313663	False
NC_000913.3	ompW	+	operon_tu209	ompW	unknown	0	79	4	411	RDBECOLIOPC01608	1314020	1314658	False
NC_000913.3	yciGFE	-	operon_tu210	yciG;yciF;yciE	sigma38	0	57	3	271	RDBECOLIOPC03423	1314718	1316035	False
NC_000913.3	acnB	+	operon_tu211	acnB	sigma70	21	7056	26	2527	RDBECOLIOPC02678	131615	134212	True
NC_000913.3	trpLEDCBA	-	operon_tu212	trpL;trpE;trpD;trpC;trpB;trpA	sigma70	4	368	8	504	RDBECOLIOPC03470	1316416	1323082	True
NC_000913.3	yciVOQ	+	operon_tu213	rnm;yciO;yciQ	unknown	3	431	15	1347	RDBECOLIOPC02104	1323220	1326641	True
NC_000913.3	rluB	+	operon_tu214	rluB	unknown	0	167	7	218	RDBECOLIOPC00774	1326852	1327727	False
NC_000913.3	yciK-btuR	-	operon_tu215	yciK;btuR	unknown	2	207	18	566	RDBECOLIOPC02461	1327767	1329112	False
NC_000913.3	sohB	+	operon_tu216	sohB	sigma70	5	599	18	592	RDBECOLIOPC03340	1329332	1330381	False
NC_000913.3	topA	+	operon_tu218	topA	sigma70	1	341	85	2445	RDBECOLIOPC02584	1331048	1333645	True
NC_000913.3	cysB	+	operon_tu219	cysB	sigma70	6	309	9	297	RDBECOLIOPC00909	1333855	1334829	False
NC_000913.3	acnA	+	operon_tu221	ymiC;acnA	sigma70	6	593	18	1608	RDBECOLIOPC01359	1335572	1338506	True
NC_000913.3	ribA	-	operon_tu222	ribA	sigma70	0	246	13	286	RDBECOLIOPC02692	1338570	1339160	False
NC_000913.3	pgpB	+	operon_tu223	pgpB	sigma70	2	160	4	297	RDBECOLIOPC00496	1339330	1340094	False
NC_000913.3	yciSM-pyrF-yciH	+	operon_tu224	lapA;lapB;pyrF;yciH	sigma70	8	616	175	3328	RDBECOLIOPC03394	1340243	1342984	True
NC_000913.3	yciZT	-	operon_tu226	yciZ;yciT	sigma38	8	448	3	373	RDBECOLIOPC00676	1343597	1344609	False
NC_000913.3	pdeR	-	operon_tu228	pdeR	sigma38	2	239	35	1405	RDBECOLIOPC01897	1344757	1346742	True
NC_000913.3	rnb	-	operon_tu229	rnb	sigma70	2	201	19	516	RDBECOLIOPC02633	1346978	1348912	True
NC_000913.3	yacC-speED	-	operon_tu230	yacC;speE;speD	sigma70	6	531	15	626	RDBECOLIOPC03409	134788	136917	True
NC_000913.3	yciW	-	operon_tu231	yciW	sigma70	1	27	0	49	RDBECOLIOPC01020	1348980	1350107	False
NC_000913.3	fabI	-	operon_tu232	fabI	unknown	8	793	14	925	RDBECOLIOPC02992	1350251	1351039	False
NC_000913.3	sapABCDF	-	operon_tu234	sapA;sapB;sapC;sapD;sapF	unknown	11	556	19	906	RDBECOLIOPC00725	1351828	1357110	True
NC_000913.3	puuAP	-	operon_tu236	puuA;ymjE;puuP	sigma38	1	47	2	116	RDBECOLIOPC03123	1357802	1360908	True
NC_000913.3	puuDRCBE	+	operon_tu237	puuD;puuR;puuC;puuB;puuE	sigma38	2	125	2	349	RDBECOLIOPC03386	1361120	1366815	True
NC_000913.3	pspF	-	operon_tu238	pspF	sigma70	0	92	2	249	RDBECOLIOPC02674	1366935	1367912	False
NC_000913.3	pspABCDE	+	operon_tu239	pspA;pspB;pspC;pspD;pspE	sigma54	11	2132	32	2220	RDBECOLIOPC02677	1368079	1370003	True
NC_000913.3	ycjMNOPQRSTUV-ymjB-ompG	+	operon_tu240	ycjM;ycjN;ycjO;ycjP;ycjQ;ycjR;ycjS;ycjT;ycjU;ycjV;ymjB;ompG	unknown	2	313	4	590	RDBECOLIOPC01052	1370216	1382852	True
NC_000913.3	cueO	+	operon_tu241	cueO	unknown	2	149	2	328	RDBECOLIOPC00788	137083	138633	True
NC_000913.3	ycjW	-	operon_tu242	ycjW	unknown	5	101	3	201	RDBECOLIOPC00792	1382963	1383961	False
NC_000913.3	ycjXF-tyrR	+	operon_tu243	ycjX;ycjF;tyrR	sigma32	12	587	132	5030	RDBECOLIOPC03235	1384117	1388261	True
NC_000913.3	tpx	-	operon_tu244	tpx	sigma70	9	2638	14	2615	RDBECOLIOPC00507	1388305	1388811	False
NC_000913.3	gcd	-	operon_tu245	gcd	sigma70	0	103	2	257	RDBECOLIOPC03037	138835	141225	True
NC_000913.3	ycjG	+	operon_tu246	ycjG	unknown	3	172	5	266	RDBECOLIOPC01758	1388930	1389895	False
NC_000913.3	ycjY-ymjDC-mpaA	-	operon_tu247	ycjY;ymjD;ymjC;mpaA	sigma32	0	403	4	503	RDBECOLIOPC03456	1389870	1391853	True
NC_000913.3	pgrR	+	operon_tu248	pgrR	unknown	1	49	8	211	RDBECOLIOPC01374	1391991	1392890	False
NC_000913.3	mppA	+	operon_tu249	mppA	unknown	2	521	24	758	RDBECOLIOPC00480	1393227	1394840	True
NC_000913.3	ynaI	-	operon_tu250	ynaI	unknown	1	77	12	571	RDBECOLIOPC01412	1394891	1395922	False
NC_000913.3	insH4	+	operon_tu251	insH4	unknown	0	0	0	0	RDBECOLIOPC02019	1396112	1397092	False
NC_000913.3	uspE	-	operon_tu253	uspE	unknown	23	2577	14	2060	RDBECOLIOPC00210	1397672	1398622	False
NC_000913.3	fnr	-	operon_tu254	fnr	sigma70	48	1480	62	1685	RDBECOLIOPC00117	1398774	1399526	False
NC_000913.3	abgABT-ogt	-	operon_tu255	abgA;abgB;abgT;ogt	unknown	5	201	5	455	RDBECOLIOPC01662	1399721	1404565	True
NC_000913.3	abgR	+	operon_tu256	abgR	unknown	2	26	4	63	RDBECOLIOPC02057	1404741	1405649	False
NC_000913.3	ydaL	+	operon_tu258	smrA	unknown	3	61	3	286	RDBECOLIOPC02487	1405979	1406542	False
NC_000913.3	ydaM	-	operon_tu259	dgcM	unknown	1	44	6	305	RDBECOLIOPC01409	1406563	1407795	False
NC_000913.3	zntB	+	operon_tu260	zntB	unknown	7	305	8	828	RDBECOLIOPC00710	1408050	1409033	False
NC_000913.3	ttcA	-	operon_tu262	ttcA	unknown	0	119	6	408	RDBECOLIOPC02504	1411013	1411948	False
NC_000913.3	recET-ralR-rcbA-xisR-intR	-	operon_tu263	recE;recT;ralR;rcbA;xisR;intR	unknown	0	129	9	425	RDBECOLIOPC01321	1412000	1417386	True
NC_000913.3	hpt	+	operon_tu265	hpt	sigma70	0	232	5	214	RDBECOLIOPC01127	141431	141967	False
NC_000913.3	can	-	operon_tu271	can	sigma32	7	367	10	640	RDBECOLIOPC01573	142008	142670	False
NC_000913.3	ydaSTUVW-rzpR	+	operon_tu272	ydaS;ydaT;ydaU;ydaV;ydaW;rzpR	unknown	0	55	12	179	RDBECOLIOPC01709	1420365	1423644	True
NC_000913.3	trkG	+	operon_tu274	trkG	unknown	1	42	2	118	RDBECOLIOPC02422	1423782	1425239	False
NC_000913.3	ynaK-ydaY	+	operon_tu275	ynaK;ydaY	unknown	0	15	0	41	RDBECOLIOPC01362	1425377	1425980	False
